id,region,subregion,country,location,lat,lon,year,depth,severity_code,bleaching_severity,coral_family,coral_species,percentage_affected,mortality_code,mortality,water_temperature,source,country_code
40,Americas,Southern Tropical America,Brazil,northern coast of Bahia State,-13.6952,-38.9047,1998,9 to 12 m,3,High,Mixed,"Mussismilia hispida, Agaricia agaricites, Siderastrea stellata",,Unknown,,29.5,Coral Listserver,BRA
41,Americas,Southern Tropical America,Panama,Gulf of Chiriqui region,7.9357,-82.0478,1998,,3,High,,,,Unknown,,29,Coral Listserver,PAN
42,Africa,Southwest Indian Ocean,Seychelles,Seychelles,-4.3347,55.7177,1998,,3,High,,,,Unknown,,,NOAA database,SYC
43,Asia,Southeast Asia,Indonesia,Lombok Island,-8.2601,116.6871,1998,,3,High,,,,Unknown,,,NOAA database,IDN
44,Africa,Southwest Indian Ocean,Seychelles,Seychelles,-4.6461,55.4845,1998,,3,High,,,,Unknown,,,NOAA database,SYC
45,Asia,South Asia,Sri Lanka,Sri Lanka,8.6961,79.8677,1998,,2,Medium,,,,Unknown,,,NOAA database,LKA
46,Asia,Southeast Asia,Indonesia,"Tulamben, Bali",-8.2727,115.6128,1998,,3,High,,,,Unknown,,,"Wilkinson, Clive",IDN
47,Asia,Southeast Asia,Indonesia,"Karimunjawa, Java",-5.9013,110.5041,1998,,2,Medium,,,,Low,50,,"Wilkinson, Clive",IDN
48,Asia,Southeast Asia,Malaysia,"Pulau Gaya, Sabah",6.0361,116.0322,1998,1 to 2 m,2,Medium,Mixed,"Branching acropora, Porites cylindrica, P. lutea, Psammocora digitata, fungia, lobophyllia",,Unknown,,32,Coral Listserver,MYS
49,Australia,Australia and Papua New Guinea,Papua New Guinea,Papua New Guinea,-9.7357,147.3975,1998,,1,Low,,,,Unknown,,,NOAA database,PNG
50,Asia,Southeast Asia,Cambodia,"Sihanoukville, Cambodia",10.6245,103.4935,1998,,3,High,Mixed,"massive porites, faviids, mussiids, acropora, pocillopora",,Unknown,,,NOAA database,KHM
51,Asia,Southeast Asia,Indonesia,Bali,-8.1036,115.0568,1998,,3,High,,,,Unknown,,,NOAA database,IDN
52,Asia,Southeast Asia,Indonesia,"Pemuteran, N.Bali",-8.1185,114.6278,1998,,2,Medium,,,,Unknown,,,NOAA database,IDN
53,Asia,South Asia,Sri Lanka,SW Coast of Sri Lanka,6.131,80.0725,1998,,3,High,,,,High,80,,Coral Listserver,LKA
54,Asia,South Asia,India,Gulf of Kutch on the northerly Gujarat coast,22.559,69.3347,1998,,2,Medium,,,,Unknown,,,Coral Listserver,IND
55,Middle East,Persian Gulf,Oman,"Muscat Area, Gulf of Oman",23.6306,58.5772,1998,,0,No Bleaching,,,,Unknown,,30.5,NOAA database,OMN
56,Asia,Southeast Asia,Indonesia,"W. of Lombok, Bali",-8.7243,115.9421,1998,,3,High,,,,Unknown,,,NOAA database,IDN
57,Asia,Southeast Asia,Indonesia,Nusa Lembongan (SE Bali),-8.6551,115.4559,1998,,1,Low,,,,Unknown,,,NOAA database,IDN
58,Asia,Southeast Asia,Indonesia,Nusa Penida,-8.7144,115.6085,1998,,1,Low,,,,Unknown,,,NOAA database,IDN
59,Asia,Southeast Asia,Thailand,Andaman Sea,7.9892,98.2673,1998,,0,No Bleaching,,,,Unknown,,,NOAA database,THA
60,Asia,Southeast Asia,Thailand,Chang,11.9538,102.363,1998,,2,Medium,,,,Unknown,,32,Coral Listserver 07/01/98,THA
61,Asia,Southeast Asia,Thailand,Pha-ngan Islands,9.6827,100.0337,1998,,2,Medium,,,,Unknown,,32,Coral Listserver 07/01/98,THA
62,Asia,Southeast Asia,Thailand,Tao,10.0531,99.8382,1998,,2,Medium,Pocilliporodae,Pocillopora damicornis,,Unknown,,31,Coral Listserver 07/01/98,THA
63,Middle East,Red Sea - Gulf of Aden,Israel,Mediterranean Coast of Israel,32.2411,34.7604,1998,,3,High,Oculinidae,Oculina patagonica,,Unknown,,,NOAA database,ISR
64,Asia,Southeast Asia,Vietnam,Halong Bay,20.7752,107.1142,1998,,0,No Bleaching,,,,Unknown,,,NOAA database,VNM
65,Asia,Southeast Asia,Vietnam,Hon Mun Island,12.1593,109.3135,1998,,0,No Bleaching,,,,Unknown,,,NOAA database,VNM
66,Americas,Northern Caribbean,Bahamas,Bahamas,23.7413,-76.0054,1998,,1,Low,,,,Unknown,,,NOAA database,BHS
67,Asia,Southeast Asia,Indonesia,"Gili Islands, Lombok Strait",-8.3295,116.0603,1998,,3,High,,,,Unknown,,,"Wilkinson, Clive",IDN
